levelKerawanan,jumlah_penduduk,total,kode_kecamatan,nama_kecamatan,nama_kabupatenKota,nama_provinsi
1,58889,14,332307,Kedu,KAB. TEMANGGUNG,JAWA TENGAH
1,12628,3,710206,Kakas,KAB. MINAHASA,SULAWESI UTARA
1,126631,30,350911,Wuluhan,KAB. JEMBER,JAWA TIMUR
1,29556,7,747102,Kendari,KOTA KENDARI,SULAWESI TENGGARA
1,38592,9,331316,Kerjo,KAB. KARANGANYAR,JAWA TENGAH
1,64513,15,350620,Tarokan,KAB. KEDIRI,JAWA TIMUR
1,25919,6,350412,Pucanglaban,KAB. TULUNGAGUNG,JAWA TIMUR
1,77758,18,332003,Welahan,KAB. JEPARA,JAWA TENGAH
1,25963,6,731402,Tellu Limpoe,KAB. SIDENRENG RAPPANG,SULAWESI SELATAN
1,34908,8,360333,Mekar Baru,KAB. TANGERANG,BANTEN
1,17505,4,140114,Rumbio Jaya,KAB. KAMPAR,RIAU
1,71247,16,180202,Bangun Rejo,KAB. LAMPUNG TENGAH,LAMPUNG
1,98282,22,321118,Sumedang Utara,KAB. SUMEDANG,JAWA BARAT
1,22362,5,621003,Tewah,KAB. GUNUNG MAS,KALIMANTAN TENGAH
1,22444,5,161008,Indralaya Selatan,KAB. OGAN ILIR,SUMATERA SELATAN
1,80827,18,350510,Kanigoro,KAB. BLITAR,JAWA TIMUR
1,13528,3,640302,Talisayan,KAB. BERAU,KALIMANTAN TIMUR
1,103850,23,520103,Narmada,KAB. LOMBOK BARAT,NUSA TENGGARA BARAT
1,18079,4,141008,Tasik Putri Puyu,KAB. KEPULAUAN MERANTI,RIAU
1,54324,12,330204,Rawalo,KAB. BANYUMAS,JAWA TENGAH
1,9060,2,150223,Tabir Barat,KAB. MERANGIN,JAMBI
1,18152,4,732204,Sabbang,KAB. LUWU UTARA,SULAWESI SELATAN
1,45803,10,331305,Matesih,KAB. KARANGANYAR,JAWA TENGAH
1,123707,27,350705,Dampit,KAB. MALANG,JAWA TIMUR
1,96501,21,352110,Paron,KAB. NGAWI,JAWA TIMUR
1,52012,11,332512,Warungasem,KAB. BATANG,JAWA TENGAH
1,52625,11,320939,Suranenggala,KAB. CIREBON,JAWA BARAT
1,19237,4,197107,Girimaya,KOTA PANGKAL PINANG,KEPULAUAN BANGKA BELITUNG
1,58240,12,331217,Purwantoro,KAB. WONOGIRI,JAWA TENGAH
1,53794,11,360431,Cinangka,KAB. SERANG,BANTEN
1,73372,15,327801,Cihideung,KOTA TASIKMALAYA,JAWA BARAT
1,14769,3,911001,Sarmi,KAB. SARMI,P A P U A
1,99793,20,121001,Rantau Utara,KAB. LABUHANBATU,SUMATERA UTARA
1,216985,43,120702,Tanjung Morawa,KAB. DELI SERDANG,SUMATERA UTARA
1,40616,8,190402,Pangkalan Baru,KAB. BANGKA TENGAH,KEPULAUAN BANGKA BELITUNG
1,25406,5,750117,Limboto Barat,KAB. GORONTALO,GORONTALO
1,66341,13,330304,Kaligondang,KAB. PURBALINGGA,JAWA TENGAH
1,10232,2,720220,Pamona Barat,KAB. POSO,SULAWESI TENGAH
1,112986,22,352315,Semanding,KAB. TUBAN,JAWA TIMUR
1,10306,2,740704,Binongko,KAB. WAKATOBI,SULAWESI TENGGARA
1,128871,25,351412,Gempol,KAB. PASURUAN,JAWA TIMUR
1,41390,8,160211,Tulung Selapan,KAB. OGAN KOMERING ILIR,SUMATERA SELATAN
1,46807,9,352101,Sine,KAB. NGAWI,JAWA TIMUR
1,99216,19,320701,Ciamis,KAB. CIAMIS,JAWA BARAT
1,36559,7,810401,Namlea,KAB. BURU,MALUKU
1,57468,11,187109,Telukbetung Utara,KOTA BANDAR LAMPUNG,LAMPUNG
1,83640,16,321111,Tanjungsari,KAB. SUMEDANG,JAWA BARAT
1,41881,8,630607,Daha Selatan,KAB. HULU SUNGAI SELATAN,KALIMANTAN SELATAN
1,78852,15,352704,Camplong,KAB. SAMPANG,JAWA TIMUR
1,84549,16,330121,Cilacap Selatan,KAB. CILACAP,JAWA TENGAH
1,37048,7,321103,Darmaraja,KAB. SUMEDANG,JAWA BARAT
1,47827,9,321330,Pusakajaya,KAB. SUBANG,JAWA BARAT
1,37328,7,320926,Ciwaringin,KAB. CIREBON,JAWA BARAT
1,70350,13,351719,Jogoroto,KAB. JOMBANG,JAWA TIMUR
1,21855,4,731703,Suli,KAB. LUWU,SULAWESI SELATAN
1,49362,9,321516,Tirtamulya,KAB. KARAWANG,JAWA BARAT
1,49457,9,127503,Binjai Barat,KOTA BINJAI,SUMATERA UTARA
1,49552,9,620101,Kumai,KAB. KOTAWARINGIN BARAT,KALIMANTAN TENGAH
