nama_provinsi,kode_provinsi,kode_kecamatan,nama_kecamatan,kode_kabupatenkota,nama_kabupatenkota,jumlah_penduduk,total,density,level_kerawanan
SULAWESI SELATAN,73,731702,Larompong,73.17,KAB. LUWU,22800,37,0.0016228070175438596,2
JAWA BARAT,32,327319,Sumur Bandung,32.73,KOTA BANDUNG,37061,60,0.0016189525377081028,2
JAWA TIMUR,35,357826,Mulyorejo,35.78,KOTA SURABAYA,85678,138,0.0016106818553187517,2
SUMATERA UTARA,12,127117,Medan Baru,12.71,KOTA MEDAN,38630,62,0.0016049702303908878,2
SULAWESI TENGGARA,74,740605,Kabaena,74.06,KAB. BOMBANA,3119,5,0.0016030779095864058,2
JAWA TIMUR,35,357824,Tenggilis Mejoyo,35.78,KOTA SURABAYA,58071,93,0.0016014878338585525,2
PAPUA BARAT,92,920507,Waigeo Barat,92.05,KAB. RAJA AMPAT,1878,3,0.001597444089456869,2
MALUKU UTARA,82,827101,Pulau Ternate,82.71,KOTA TERNATE,8770,14,0.0015963511972633979,2
JAWA BARAT,32,321620,Cikarang Pusat,32.16,KAB. BEKASI,61302,97,0.0015823301034224005,2
BANTEN,36,367107,Karawaci,36.71,KOTA TANGERANG,184216,291,0.0015796673470274026,2
RIAU,14,140309,Mandau,14.03,KAB. BENGKALIS,150806,237,0.0015715555084015226,2
DKI JAKARTA,31,310102,Kepulauan Seribu Selatan.,31.01,KAB. ADM. KEP. SERIBU,12124,19,0.0015671395579016827,2
SUMATERA UTARA,12,127107,Medan Tuntungan,12.71,KOTA MEDAN,93819,147,0.0015668468007546447,2
JAWA BARAT,32,320121,Nanggung,32.01,KAB. BOGOR,84798,132,0.0015566404868039342,2
JAWA BARAT,32,327505,Rawalumbu,32.75,KOTA BEKASI,220588,343,0.001554934991930658,2
RIAU,14,147207,Dumai Selatan,14.72,KOTA DUMAI,50461,78,0.0015457482015814193,2
JAWA BARAT,32,327511,Mustikajaya,32.75,KOTA BEKASI,195133,301,0.0015425376538053532,2
BANTEN,36,367113,Larangan,36.71,KOTA TANGERANG,143934,222,0.0015423735878944515,2
DAERAH ISTIMEWA YOGYAKARTA,34,340411,Ngemplak,34.04,KAB. SLEMAN,62437,96,0.001537549850249051,2
JAWA TIMUR,35,357805,Tegalsari,35.78,KOTA SURABAYA,99559,153,0.0015367771873964183,2
JAWA BARAT,32,327609,Cinere,32.76,KOTA DEPOK,85330,130,0.0015234970116020157,2
JAWA BARAT,32,327502,Bekasi Barat,32.75,KOTA BEKASI,269846,411,0.001523090948170438,2
SULAWESI SELATAN,73,731707,Belopa,73.17,KAB. LUWU,19052,29,0.00152214990552173,2
JAWA BARAT,32,327106,Tanah Sareal,32.71,KOTA BOGOR,210478,319,0.0015155978297019166,2
JAMBI,15,157102,Jambi Selatan,15.71,KOTA JAMBI,59591,90,0.0015102951788021682,2
JAWA TIMUR,35,357804,Wonokromo,35.78,KOTA SURABAYA,157769,238,0.0015085346297434858,2
DKI JAKARTA,31,317204,Cilincing,31.72,KOTA ADM. JAKARTA UTARA,430085,648,0.001506678912308032,2
NUSA TENGGARA BARAT,52,527104,Sekarbela,52.71,KOTA MATARAM,56754,84,0.0014800718892060472,2
LAMPUNG,18,180805,Bahuga,18.08,KAB. WAY KANAN,11510,17,0.001476976542137272,2
BANTEN,36,367103,Batuceper,36.71,KOTA TANGERANG,90053,133,0.0014769080430413202,2
KALIMANTAN UTARA,65,650307,Krayan Selatan,65.03,KAB. NUNUKAN,1359,2,0.0014716703458425313,2
DKI JAKARTA,31,317408,Pancoran,31.74,KOTA ADM. JAKARTA SELATAN,174282,256,0.0014688837630965905,2
JAWA TIMUR,35,357812,Pabean Cantian,35.78,KOTA SURABAYA,75823,111,0.0014639357450905398,2
JAWA TIMUR,35,357822,Gayungan,35.78,KOTA SURABAYA,43138,63,0.0014604293198572024,2
DAERAH ISTIMEWA YOGYAKARTA,34,340305,Paliyan,34.03,KAB. GUNUNGKIDUL,33200,48,0.0014457831325301205,2
SULAWESI TENGGARA,74,741111,Ueesi,74.11,KAB. KOLAKA TIMUR,4175,6,0.001437125748502994,2
DKI JAKARTA,31,317506,Cakung,31.75,KOTA ADM. JAKARTA TIMUR,558831,803,0.0014369281589604013,2
JAWA BARAT,32,321602,Babelan,32.16,KAB. BEKASI,209021,300,0.0014352624855875726,2
JAWA TIMUR,35,357823,Jambangan,35.78,KOTA SURABAYA,51618,74,0.0014336084311674221,2
DAERAH ISTIMEWA YOGYAKARTA,34,340205,Bambanglipuro,34.02,KAB. BANTUL,41880,60,0.0014326647564469914,2
SULAWESI UTARA,71,710309,Nusa Tabukan,71.03,KAB. KEPULAUAN SANGIHE,3491,5,0.0014322543683758235,2
JAWA BARAT,32,321605,Tambun Utara,32.16,KAB. BEKASI,155977,223,0.0014296979682901967,2
KEPULAUAN BANGKA BELITUNG,19,190204,Sijuk,19.02,KAB. BELITUNG,30091,43,0.001428998703931408,2
SUMATERA SELATAN,16,167401,Prabumulih Barat,16.74,KOTA PRABUMULIH,31517,45,0.0014278008693720849,2
DAERAH ISTIMEWA YOGYAKARTA,34,347101,Tegalrejo,34.71,KOTA YOGYAKARTA,37164,53,0.001426111290496179,2
JAWA BARAT,32,327314,Cibeunying Kidul,32.73,KOTA BANDUNG,112903,161,0.001426002852005704,2
JAWA TENGAH,33,337411,Banyumanik,33.74,KOTA SEMARANG,140419,200,0.001424308676176301,2
JAWA TIMUR,35,352516,Gresik,35.25,KAB. GRESIK,82150,117,0.0014242239805234327,2
SUMATERA BARAT,13,130908,Sipora Utara,13.09,KAB. KEPULAUAN MENTAWAI,11944,17,0.0014233087742799731,2
JAWA BARAT,32,320113,Bojong Gede,32.01,KAB. BOGOR,223528,318,0.0014226405640456676,2
PAPUA,91,910310,Demta,91.03,KAB. JAYAPURA,3527,5,0.001417635384179189,2
DAERAH ISTIMEWA YOGYAKARTA,34,340214,Piyungan,34.02,KAB. BANTUL,52333,74,0.0014140217453614354,2
DAERAH ISTIMEWA YOGYAKARTA,34,340208,Bantul,34.02,KAB. BANTUL,64365,91,0.0014138118542686242,2
JAWA TIMUR,35,352014,Karas,35.20,KAB. MAGETAN,38206,54,0.0014133905669266608,2
SULAWESI SELATAN,73,737109,Panakkukang,73.71,KOTA MAKASSAR,146463,207,0.0014133262325638557,2
KALIMANTAN TIMUR,64,640308,Biduk-Biduk,64.03,KAB. BERAU,6380,9,0.0014106583072100312,2
BANTEN,36,367406,Pamulang,36.74,KOTA TANGERANG SELATAN,293560,412,0.0014034609619839216,2
DAERAH ISTIMEWA YOGYAKARTA,34,340410,Kalasan,34.04,KAB. SLEMAN,82267,115,0.0013978873667448673,2
